Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Constituency,District
"Dr. Varadharajan, K.",DMK,14,Graduate Professional,67,"Rs 18,03,11,266 ~ 18 Crore+","Rs 87,19,457 ~ 87 Lacs+",Pollachi,Coimbatore
"Logeswari, N.",Naam Tamilar Katchi,0,Graduate,32,"Rs 67,27,000 ~ 67 Lacs+","Rs 7,89,000 ~ 7 Lacs+",Pollachi,Coimbatore
"Muthukumarasamy, R.",IND,0,12th Pass,46,"Rs 2,91,397 ~ 2 Lacs+",Rs 0 ~,Pollachi,Coimbatore
Pollachi V. Jayaraman,AIADMK,0,Doctorate,67,"Rs 30,88,96,045 ~ 30 Crore+","Rs 2,49,61,645 ~ 2 Crore+",Pollachi,Coimbatore
"Sathieshkumar, V.T.",Makkal Needhi Maiam,0,12th Pass,46,"Rs 6,40,29,561 ~ 6 Crore+","Rs 3,50,000 ~ 3 Lacs+",Pollachi,Coimbatore
"Shanthu Mohamed, A.",IND,0,10th Pass,37,"Rs 1,015 ~ 1 Thou+",Rs 0 ~,Pollachi,Coimbatore
"Sugumar, K.",Amma Makkal Munnettra Kazagam,0,Graduate,60,"Rs 20,02,74,816 ~ 20 Crore+","Rs 1,42,73,692 ~ 1 Crore+",Pollachi,Coimbatore
"Akbar Ali, A",IND,0,8th Pass,52,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,Singanallur,Coimbatore
"Chanthirika, R",IND,0,10th Pass,40,"Rs 8,40,000 ~ 8 Lacs+","Rs 2,76,000 ~ 2 Lacs+",Singanallur,Coimbatore
"Gowtham, P",IND,0,Post Graduate,31,"Rs 7,85,000 ~ 7 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Jayaram, K.R",AIADMK,0,8th Pass,47,"Rs 90,32,17,625 ~ 90 Crore+","Rs 23,01,59,014 ~ 23 Crore+",Singanallur,Coimbatore
"Karthick, N",IND,0,Graduate Professional,29,"Rs 6,63,000 ~ 6 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Karthik, N",DMK,37,8th Pass,56,"Rs 4,26,79,425 ~ 4 Crore+","Rs 38,03,473 ~ 38 Lacs+",Singanallur,Coimbatore
"Karthik, N",IND,0,10th Pass,32,"Rs 4,29,000 ~ 4 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Krishnan, V",IND,0,8th Pass,50,"Rs 1,59,10,000 ~ 1 Crore+","Rs 8,00,000 ~ 8 Lacs+",Singanallur,Coimbatore
"Kumar Babu, K",IND,0,8th Pass,59,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Mahendran, R",Makkal Needhi Maiam,0,Post Graduate,58,"Rs 1,61,62,76,431 ~ 161 Crore+","Rs 7,20,93,971 ~ 7 Crore+",Singanallur,Coimbatore
"Maniraj, K",IND,0,Others,58,"Rs 25,76,598 ~ 25 Lacs+","Rs 16,00,000 ~ 16 Lacs+",Singanallur,Coimbatore
"Mohandass, N",IND,0,Others,38,"Rs 22,40,571 ~ 22 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Nabas Sherif, M",IND,0,12th Pass,30,Nil,Rs 0 ~,Singanallur,Coimbatore
"Nagarajan, J",IND,0,Post Graduate,53,"Rs 2,82,000 ~ 2 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Narmadha, R",Naam Tamilar Katchi,1,Graduate,37,"Rs 87,27,840 ~ 87 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Palanisamy, N",My India Party,0,Post Graduate,62,"Rs 7,89,799 ~ 7 Lacs+","Rs 37,000 ~ 37 Thou+",Singanallur,Coimbatore
Praveen Venkatachalam,IND,0,Post Graduate,32,"Rs 54,71,978 ~ 54 Lacs+","Rs 7,00,000 ~ 7 Lacs+",Singanallur,Coimbatore
"Sasikumar, M",Anna Dravidar Kazhagam,0,Others,43,"Rs 17,31,752 ~ 17 Lacs+","Rs 9,00,000 ~ 9 Lacs+",Singanallur,Coimbatore
"Selva, S.R",Amma Makkal Munnettra Kazagam,0,Post Graduate,44,"Rs 4,65,83,265 ~ 4 Crore+","Rs 96,00,000 ~ 96 Lacs+",Singanallur,Coimbatore
"Senthilkumar, S",United States of India Party,0,Graduate Professional,43,"Rs 6,42,321 ~ 6 Lacs+",Rs 0 ~,Singanallur,Coimbatore
"Viju Alban Prakash, V",IND,0,Others,29,"Rs 8,86,100 ~ 8 Lacs+","Rs 11,93,000 ~ 11 Lacs+",Singanallur,Coimbatore
Elangovan. G,Naam Tamilar Katchi,0,5th Pass,54,"Rs 67,84,345 ~ 67 Lacs+","Rs 32,61,237 ~ 32 Lacs+",Sulur,Coimbatore
Jagadheesh. S,My India Party,0,Graduate Professional,38,"Rs 3,63,500 ~ 3 Lacs+","Rs 3,50,000 ~ 3 Lacs+",Sulur,Coimbatore
Kandasamy T,IND,0,12th Pass,39,"Rs 7,42,867 ~ 7 Lacs+",Rs 0 ~,Sulur,Coimbatore
Kandasamy V.P.,AIADMK,0,Graduate,62,"Rs 4,38,93,608 ~ 4 Crore+","Rs 17,44,770 ~ 17 Lacs+",Sulur,Coimbatore
Karthikeyan P,IND,0,12th Pass,49,"Rs 4,05,92,000 ~ 4 Crore+","Rs 3,86,000 ~ 3 Lacs+",Sulur,Coimbatore
Nagaraj. K,Ganasangam Party of India,0,Illiterate,56,"Rs 3,15,000 ~ 3 Lacs+",Rs 0 ~,Sulur,Coimbatore
Prem Kumar P,IND,2,5th Pass,31,"Rs 63,000 ~ 63 Thou+","Rs 1,05,000 ~ 1 Lacs+",Sulur,Coimbatore
Premier Selvam Alias Kalichamy M,DMK,0,8th Pass,52,"Rs 19,70,84,300 ~ 19 Crore+","Rs 1,05,72,000 ~ 1 Crore+",Sulur,Coimbatore
Ranganathan. A,Makkal Needhi Maiam,0,Others,54,"Rs 11,53,02,442 ~ 11 Crore+","Rs 12,52,105 ~ 12 Lacs+",Sulur,Coimbatore
Selva Kumar D,IND,0,10th Pass,59,"Rs 32,20,000 ~ 32 Lacs+","Rs 14,85,000 ~ 14 Lacs+",Sulur,Coimbatore
Selvan S,IND,0,10th Pass,52,"Rs 1,38,090 ~ 1 Lacs+",Rs 0 ~,Sulur,Coimbatore
Senthil Kumar. S.A.P.,IND,0,5th Pass,38,"Rs 5,72,838 ~ 5 Lacs+",Rs 0 ~,Sulur,Coimbatore
Shankar Guru. M,IND,0,10th Pass,35,"Rs 4,29,000 ~ 4 Lacs+","Rs 3,50,000 ~ 3 Lacs+",Sulur,Coimbatore
Shanmugam R,IND,0,8th Pass,51,"Rs 11,47,000 ~ 11 Lacs+","Rs 2,44,683 ~ 2 Lacs+",Sulur,Coimbatore
A. Abdul Gafoor,IND,0,Graduate,73,"Rs 8,000 ~ 8 Thou+",Rs 0 ~,Thondamuthur,Coimbatore
Cc Selvamohan,IND,0,Graduate,46,"Rs 38,39,945 ~ 38 Lacs+","Rs 13,48,453 ~ 13 Lacs+",Thondamuthur,Coimbatore
J.John Edward Visuvasam,IND,0,10th Pass,37,"Rs 35,65,000 ~ 35 Lacs+","Rs 25,00,000 ~ 25 Lacs+",Thondamuthur,Coimbatore
Karthikeya,DMK,0,12th Pass,48,"Rs 5,40,52,530 ~ 5 Crore+","Rs 78,02,829 ~ 78 Lacs+",Thondamuthur,Coimbatore
M. Badran,Ganasangam Party of India,0,10th Pass,57,"Rs 8,64,000 ~ 8 Lacs+","Rs 8,000 ~ 8 Thou+",Thondamuthur,Coimbatore
R.Sathishkumar,Amma Makkal Munnettra Kazagam,1,Graduate,36,"Rs 1,28,10,778 ~ 1 Crore+",Rs 0 ~,Thondamuthur,Coimbatore
S. Kalaiarasi,Naam Tamilar Katchi,0,Graduate,29,"Rs 12,43,789 ~ 12 Lacs+","Rs 28,46,000 ~ 28 Lacs+",Thondamuthur,Coimbatore
S. Shajahan,Makkal Needhi Maiam,0,Graduate,43,"Rs 17,05,464 ~ 17 Lacs+","Rs 65,000 ~ 65 Thou+",Thondamuthur,Coimbatore
S.P. Velumani,AIADMK,0,Post Graduate,51,"Rs 5,59,31,162 ~ 5 Crore+",Rs 0 ~,Thondamuthur,Coimbatore
Amulkandasami T K,AIADMK,0,10th Pass,55,"Rs 1,97,54,937 ~ 1 Crore+","Rs 28,65,915 ~ 28 Lacs+",Valparai Sc),Coimbatore
Arumugam M,CPI,0,10th Pass,69,"Rs 41,55,288 ~ 41 Lacs+","Rs 7,00,000 ~ 7 Lacs+",Valparai Sc),Coimbatore
Kohila C,Naam Tamilar Katchi,0,Post Graduate,31,"Rs 41,29,869 ~ 41 Lacs+","Rs 19,50,000 ~ 19 Lacs+",Valparai Sc),Coimbatore
Murugaraj M S,DMDK,0,Post Graduate,58,"Rs 9,59,000 ~ 9 Lacs+",Rs 0 ~,Valparai Sc),Coimbatore
Rangasamy T M,IND,0,10th Pass,57,"Rs 1,02,500 ~ 1 Lacs+",Rs 0 ~,Valparai Sc),Coimbatore
Senthilraj D,Makkal Needhi Maiam,1,Post Graduate,57,"Rs 51,34,135 ~ 51 Lacs+",Rs 0 ~,Valparai Sc),Coimbatore
"Aruldoss, E.",Desiya Makkal Sakthi Katchi,0,Graduate,57,"Rs 10,12,000 ~ 10 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Ayyasamy, S.",IND,0,5th Pass,57,"Rs 22,90,000 ~ 22 Lacs+","Rs 5,65,000 ~ 5 Lacs+",Tittakudi Sc),Cuddalore
"Ganesan, C.V.",DMK,0,Post Graduate,62,"Rs 9,49,32,500 ~ 9 Crore+","Rs 4,52,81,186 ~ 4 Crore+",Tittakudi Sc),Cuddalore
"Kamaraj, K.",IND,0,Post Graduate,59,"Rs 74,00,000 ~ 74 Lacs+","Rs 18,00,000 ~ 18 Lacs+",Tittakudi Sc),Cuddalore
"Kamatchi, N.",Naam Tamilar Katchi,0,Not Given,29,"Rs 2,85,000 ~ 2 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Karuppan, M.",IND,0,5th Pass,47,"Rs 34,87,000 ~ 34 Lacs+","Rs 35,00,000 ~ 35 Lacs+",Tittakudi Sc),Cuddalore
"Kolanjinathan, V.",IND,0,Not Given,54,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Natarajan, M.",IND,0,Not Given,46,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Palaniammal, P.",IND,0,Post Graduate,53,"Rs 1,88,200 ~ 1 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Periyasamy, D.",BJP,2,Others,58,"Rs 19,24,222 ~ 19 Lacs+","Rs 2,70,000 ~ 2 Lacs+",Tittakudi Sc),Cuddalore
"Prabakaran, R.",Makkal Needhi Maiam,0,Others,33,"Rs 23,27,757 ~ 23 Lacs+","Rs 6,56,148 ~ 6 Lacs+",Tittakudi Sc),Cuddalore
"Ravichandran, P.",BSP,0,Literate,54,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Seenuvasan, C.",IND,0,Graduate,41,"Rs 11,40,000 ~ 11 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Sumathi, S.",IND,0,12th Pass,40,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,Tittakudi Sc),Cuddalore
"Umanath, R.",DMDK,3,Graduate Professional,48,"Rs 18,06,674 ~ 18 Lacs+","Rs 41,22,431 ~ 41 Lacs+",Tittakudi Sc),Cuddalore
A. Ayyasamy,BSP,0,12th Pass,41,"Rs 4,34,000 ~ 4 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
A. Manikandan,IND,0,5th Pass,47,"Rs 3,64,500 ~ 3 Lacs+","Rs 5,70,000 ~ 5 Lacs+",Vridhachalam,Cuddalore
B. Arasi,RJD,0,10th Pass,28,"Rs 2,06,000 ~ 2 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
C. Dhanasekar,IND,0,10th Pass,31,"Rs 1,05,500 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",Vridhachalam,Cuddalore
G. Pichamuthu,Desiya Sirupanmayinar Makkal Iyakkam,0,5th Pass,57,"Rs 59,50,000 ~ 59 Lacs+","Rs 10,25,000 ~ 10 Lacs+",Vridhachalam,Cuddalore
K. Ravichandiran,IND,0,10th Pass,56,"Rs 4,42,000 ~ 4 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
K.P.Senthilmurugan,IND,0,Post Graduate,44,"Rs 52,27,874 ~ 52 Lacs+","Rs 4,00,000 ~ 4 Lacs+",Vridhachalam,Cuddalore
Karthikeyan. J,Pattali Makkal Katchi,0,Post Graduate,35,"Rs 1,38,32,939 ~ 1 Crore+","Rs 35,20,000 ~ 35 Lacs+",Vridhachalam,Cuddalore
M. Anwar Basha,IND,0,Graduate,40,"Rs 7,58,000 ~ 7 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
N. Amutha,Naam Tamilar Katchi,1,Graduate,52,"Rs 15,29,528 ~ 15 Lacs+","Rs 2,20,000 ~ 2 Lacs+",Vridhachalam,Cuddalore
N. Radhika,IND,0,Illiterate,40,"Rs 25,12,000 ~ 25 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
P. Ramasamy,IND,1,Literate,38,"Rs 5,53,600 ~ 5 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
Perumal,IND,0,Illiterate,38,"Rs 2,97,000 ~ 2 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
Premalatha Vijayakant,DMDK,1,Graduate,55,"Rs 86,55,63,421 ~ 86 Crore+","Rs 16,30,00,000 ~ 16 Crore+",Vridhachalam,Cuddalore
R. Kesavaperumal,Tamil Nadu Ilangyar Katchi,2,Post Graduate,35,"Rs 10,72,000 ~ 10 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
R. Parthasarathi,Indiya Jananayaka Katchi,0,Post Graduate,41,"Rs 28,26,000 ~ 28 Lacs+","Rs 6,72,000 ~ 6 Lacs+",Vridhachalam,Cuddalore
R. Saravanan,IND,0,Graduate,41,"Rs 66,31,000 ~ 66 Lacs+","Rs 35,00,000 ~ 35 Lacs+",Vridhachalam,Cuddalore
Radhakrishnan,INC,5,10th Pass,53,"Rs 1,54,44,809 ~ 1 Crore+","Rs 61,591 ~ 61 Thou+",Vridhachalam,Cuddalore
Ramadoss S,IND,0,Graduate,60,"Rs 23,80,000 ~ 23 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
S. Aruljothi,IND,0,8th Pass,44,"Rs 1,80,760 ~ 1 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
S. Mahaveer Chand,IND,0,Post Graduate,59,"Rs 4,89,89,148 ~ 4 Crore+","Rs 6,07,000 ~ 6 Lacs+",Vridhachalam,Cuddalore
S. Muruganantham,IND,1,Post Graduate,28,"Rs 3,47,000 ~ 3 Lacs+","Rs 4,00,000 ~ 4 Lacs+",Vridhachalam,Cuddalore
S. Radhakrishnan,IND,0,5th Pass,33,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
S. Sadhasivam,IND,0,10th Pass,52,"Rs 62,05,000 ~ 62 Lacs+","Rs 5,50,000 ~ 5 Lacs+",Vridhachalam,Cuddalore
Sathiyanathan,Anaithu Makkal Puratchi Katchi,0,8th Pass,32,"Rs 3,68,040 ~ 3 Lacs+",Rs 0 ~,Vridhachalam,Cuddalore
Sivasankar,New Generation Peoples Party,0,Post Graduate,38,"Rs 22,42,800 ~ 22 Lacs+","Rs 4,00,000 ~ 4 Lacs+",Vridhachalam,Cuddalore
Stalin,IND,0,8th Pass,36,"Rs 15,17,000 ~ 15 Lacs+","Rs 2,00,000 ~ 2 Lacs+",Vridhachalam,Cuddalore
T. Veeramani,IND,0,Graduate Professional,31,"Rs 2,40,000 ~ 2 Lacs+","Rs 2,50,000 ~ 2 Lacs+",Vridhachalam,Cuddalore
Baktharatchagan.R,Amma Makkal Munnettra Kazagam,0,Doctorate,56,"Rs 2,73,82,911 ~ 2 Crore+","Rs 50,89,676 ~ 50 Lacs+",Neyveli,Cuddalore
Boobalan.E,IND,0,12th Pass,42,"Rs 10,67,161 ~ 10 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Dhanasekaran.S,IND,0,10th Pass,49,"Rs 13,70,000 ~ 13 Lacs+","Rs 6,60,000 ~ 6 Lacs+",Neyveli,Cuddalore
Dhiliban.U,IND,0,12th Pass,29,"Rs 3,62,207 ~ 3 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Dhurga.K,IND,0,10th Pass,48,"Rs 80,500 ~ 80 Thou+","Rs 2,30,000 ~ 2 Lacs+",Neyveli,Cuddalore
Ilangovan.R,Indiya Jananayaka Katchi,0,10th Pass,40,"Rs 8,56,000 ~ 8 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Jagan.K,Pattali Makkal Katchi,1,12th Pass,47,"Rs 8,81,57,000 ~ 8 Crore+","Rs 2,48,20,000 ~ 2 Crore+",Neyveli,Cuddalore
Kanagaraji.C,BSP,0,12th Pass,26,"Rs 7,50,500 ~ 7 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Rajendran .B,IND,0,Graduate,32,"Rs 44,12,750 ~ 44 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Ramesh.K,Naam Tamilar Katchi,0,Others,50,"Rs 1,35,39,759 ~ 1 Crore+","Rs 63,00,000 ~ 63 Lacs+",Neyveli,Cuddalore
Saba.Rajendran,DMK,7,Graduate Professional,59,"Rs 6,20,90,178 ~ 6 Crore+","Rs 72,65,337 ~ 72 Lacs+",Neyveli,Cuddalore
Vaduganathan.R,IND,0,Others,51,"Rs 29,76,000 ~ 29 Lacs+",Rs 0 ~,Neyveli,Cuddalore
Arulkumar.R,IND,0,10th Pass,35,"Rs 3,12,800 ~ 3 Lacs+",Rs 0 ~,Panruti,Cuddalore
Govindasamy.S,IND,0,10th Pass,45,"Rs 11,54,000 ~ 11 Lacs+","Rs 4,60,000 ~ 4 Lacs+",Panruti,Cuddalore
Jaylani,Makkal Needhi Maiam,2,10th Pass,48,"Rs 3,48,68,503 ~ 3 Crore+","Rs 2,12,71,782 ~ 2 Crore+",Panruti,Cuddalore
Kamadevan.S,IND,1,5th Pass,34,"Rs 3,05,000 ~ 3 Lacs+",Rs 0 ~,Panruti,Cuddalore
Kumar.D,IND,0,5th Pass,43,"Rs 1,93,500 ~ 1 Lacs+","Rs 51,500 ~ 51 Thou+",Panruti,Cuddalore
Nagamani.M,IND,0,8th Pass,43,"Rs 4,02,000 ~ 4 Lacs+","Rs 3,50,000 ~ 3 Lacs+",Panruti,Cuddalore
Prakash.R,IND,0,Graduate Professional,37,"Rs 4,82,000 ~ 4 Lacs+",Rs 0 ~,Panruti,Cuddalore
Rajendran.R,AIADMK,0,12th Pass,60,"Rs 14,68,04,603 ~ 14 Crore+","Rs 60,10,000 ~ 60 Lacs+",Panruti,Cuddalore
Sivakozhundu.P,DMDK,0,5th Pass,54,"Rs 44,32,626 ~ 44 Lacs+",Rs 0 ~,Panruti,Cuddalore
Subhashini.R,Naam Tamilar Katchi,0,Graduate Professional,28,"Rs 4,08,500 ~ 4 Lacs+","Rs 2,58,000 ~ 2 Lacs+",Panruti,Cuddalore
Velmurugan.K,IND,0,12th Pass,39,"Rs 42,75,097 ~ 42 Lacs+","Rs 22,18,000 ~ 22 Lacs+",Panruti,Cuddalore
Velmurugan.R,IND,0,Graduate Professional,35,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Panruti,Cuddalore
Velmurugan.T,DMK,17,Graduate,50,"Rs 23,93,638 ~ 23 Lacs+",Rs 0 ~,Panruti,Cuddalore
A.Gnanapandithan,DMDK,0,Graduate Professional,45,"Rs 1,49,16,738 ~ 1 Crore+","Rs 30,39,500 ~ 30 Lacs+",Cuddalore,Cuddalore
A.Mohamed Usman,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,10th Pass,54,"Rs 2,55,000 ~ 2 Lacs+",Rs 0 ~,Cuddalore,Cuddalore
G.Iyappan,DMK,0,Post Graduate,63,"Rs 2,34,70,563 ~ 2 Crore+","Rs 75,45,921 ~ 75 Lacs+",Cuddalore,Cuddalore
G.Krishnan,IND,0,Graduate,70,"Rs 8,00,000 ~ 8 Lacs+","Rs 53,000 ~ 53 Thou+",Cuddalore,Cuddalore
J.Jacob,IND,0,Graduate Professional,36,"Rs 72,51,000 ~ 72 Lacs+","Rs 10,00,000 ~ 10 Lacs+",Cuddalore,Cuddalore
K.Anandraj,Makkal Needhi Maiam,0,10th Pass,38,"Rs 8,35,700 ~ 8 Lacs+","Rs 3,30,000 ~ 3 Lacs+",Cuddalore,Cuddalore
K.Thangarasu,IND,1,10th Pass,64,"Rs 1,10,91,000 ~ 1 Crore+",Rs 0 ~,Cuddalore,Cuddalore
M.C.Sampath,AIADMK,0,Graduate,62,"Rs 13,11,58,662 ~ 13 Crore+","Rs 74,32,574 ~ 74 Lacs+",Cuddalore,Cuddalore
R.Vallal Kumar,BSP,0,Post Graduate,37,"Rs 5,45,500 ~ 5 Lacs+",Rs 0 ~,Cuddalore,Cuddalore
S.Deenadhayalan,IND,0,Post Graduate,28,"Rs 1,35,500 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",Cuddalore,Cuddalore
S.Pushbaraj,Tamil Nadu Ilangyar Katchi,0,Post Graduate,29,"Rs 6,61,000 ~ 6 Lacs+","Rs 2,40,000 ~ 2 Lacs+",Cuddalore,Cuddalore
S.Sampath,IND,0,5th Pass,49,"Rs 4,48,900 ~ 4 Lacs+",Rs 0 ~,Cuddalore,Cuddalore
S.V.Rajarajan,Desiya Makkal Sakthi Katchi,1,Others,46,"Rs 1,81,20,000 ~ 1 Crore+","Rs 88,00,000 ~ 88 Lacs+",Cuddalore,Cuddalore
V. Dakshnamoorthy,IND,0,10th Pass,44,"Rs 2,42,000 ~ 2 Lacs+","Rs 85,000 ~ 85 Thou+",Cuddalore,Cuddalore
A.Vasanthakumar,Amma Makkal Munnettra Kazagam,1,Others,26,"Rs 7,29,800 ~ 7 Lacs+","Rs 2,75,127 ~ 2 Lacs+",Kurinjipadi,Cuddalore
Brijita Roslene,IND,0,5th Pass,55,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,Kurinjipadi,Cuddalore
K.Chandramouli,JD(U),4,12th Pass,44,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~,Kurinjipadi,Cuddalore
L.Madhiyazhagan,IND,0,12th Pass,57,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,Kurinjipadi,Cuddalore
M.R.K.Panneerselvam,DMK,12,Graduate Professional,63,"Rs 10,93,45,490 ~ 10 Crore+","Rs 74,64,058 ~ 74 Lacs+",Kurinjipadi,Cuddalore
N.Muthazhagan,IND,0,12th Pass,50,"Rs 50,300 ~ 50 Thou+",Rs 0 ~,Kurinjipadi,Cuddalore
R.Muthukrishnan,Anna Dravidar Kazhagam,0,12th Pass,50,"Rs 95,74,668 ~ 95 Lacs+","Rs 2,20,000 ~ 2 Lacs+",Kurinjipadi,Cuddalore
R.Rajesh,IND,0,10th Pass,35,"Rs 23,000 ~ 23 Thou+",Rs 0 ~,Kurinjipadi,Cuddalore
R.Sarathkumar,IND,0,10th Pass,29,"Rs 83,201 ~ 83 Thou+",Rs 0 ~,Kurinjipadi,Cuddalore
S.Sumathi,Naam Tamilar Katchi,0,Post Graduate,47,"Rs 67,57,126 ~ 67 Lacs+","Rs 5,00,000 ~ 5 Lacs+",Kurinjipadi,Cuddalore
Selvi Ramajayam,AIADMK,0,10th Pass,55,"Rs 1,71,98,361 ~ 1 Crore+","Rs 87,01,646 ~ 87 Lacs+",Kurinjipadi,Cuddalore
T.Velayudham,BSP,0,8th Pass,46,"Rs 4,15,000 ~ 4 Lacs+",Rs 0 ~,Kurinjipadi,Cuddalore
Anandan. S (A) Kavignar Sella Aananthamaalai,IND,0,12th Pass,43,"Rs 1,143 ~ 1 Thou+",Rs 0 ~,Bhuvanagiri,Cuddalore
Arunmozhithevan. A,AIADMK,0,Graduate Professional,52,"Rs 3,94,66,325 ~ 3 Crore+","Rs 1,20,22,834 ~ 1 Crore+",Bhuvanagiri,Cuddalore
Balamurugan. G.C,IND,0,10th Pass,39,"Rs 3,30,000 ~ 3 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Balamurugan. K.S.K,Amma Makkal Munnettra Kazagam,2,Others,39,"Rs 10,02,41,240 ~ 10 Crore+","Rs 1,09,81,716 ~ 1 Crore+",Bhuvanagiri,Cuddalore
Ezhilvendan. P.,IND,0,12th Pass,54,"Rs 22,52,365 ~ 22 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Ezhilvendhan. R,BSP,0,Post Graduate,31,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Jeyakumar. K,IND,0,12th Pass,46,"Rs 2,21,900 ~ 2 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Pazhanivel. M,IND,0,Not Given,55,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Ranjith. R,IND,0,12th Pass,27,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,Bhuvanagiri,Cuddalore
Rathinavel. R.,Naam Tamilar Katchi,0,10th Pass,45,"Rs 38,40,000 ~ 38 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Revathi. R.,Indiya Jananayaka Katchi,0,5th Pass,49,"Rs 95,15,500 ~ 95 Lacs+","Rs 6,00,000 ~ 6 Lacs+",Bhuvanagiri,Cuddalore
Saravanan. Durai.K,DMK,4,Post Graduate,54,"Rs 10,29,38,018 ~ 10 Crore+","Rs 1,00,53,236 ~ 1 Crore+",Bhuvanagiri,Cuddalore
Saravanan. J.,IND,0,12th Pass,57,"Rs 30,81,245 ~ 30 Lacs+",Rs 0 ~,Bhuvanagiri,Cuddalore
Sivakumari. T,IND,0,8th Pass,43,"Rs 4,59,000 ~ 4 Lacs+","Rs 15,15,000 ~ 15 Lacs+",Bhuvanagiri,Cuddalore
B. Narayanamoorthy,IND,0,8th Pass,50,"Rs 70,62,140 ~ 70 Lacs+","Rs 1,70,000 ~ 1 Lacs+",Chidambaram,Cuddalore
C. Vinoba,IND,0,10th Pass,49,"Rs 1,01,000 ~ 1 Lacs+",Rs 0 ~,Chidambaram,Cuddalore
D. Chandra Prabu,BSP,0,12th Pass,35,"Rs 2,03,000 ~ 2 Lacs+","Rs 1,40,000 ~ 1 Lacs+",Chidambaram,Cuddalore
G. Devasagayam,Makkal Needhi Maiam,0,Literate,50,"Rs 38,86,700 ~ 38 Lacs+","Rs 4,54,000 ~ 4 Lacs+",Chidambaram,Cuddalore
K. Udaya Selvan,Anaithu Makkal Puratchi Katchi,0,Graduate Professional,32,"Rs 1,75,062 ~ 1 Lacs+",Rs 0 ~,Chidambaram,Cuddalore
K.A. Pandian,AIADMK,0,Post Graduate,60,"Rs 6,20,79,604 ~ 6 Crore+","Rs 1,04,32,505 ~ 1 Crore+",Chidambaram,Cuddalore
M. Nanthinidevi,Amma Makkal Munnettra Kazagam,0,Graduate Professional,39,"Rs 1,22,58,821 ~ 1 Crore+","Rs 58,64,895 ~ 58 Lacs+",Chidambaram,Cuddalore
M. Raghunathan,Ilantamilar Munnani Kazhagam,0,Post Graduate,52,"Rs 25,76,000 ~ 25 Lacs+","Rs 5,65,000 ~ 5 Lacs+",Chidambaram,Cuddalore
Natarajan Krishnamoorthy,Naam Tamilar Katchi,0,12th Pass,43,"Rs 1,00,12,000 ~ 1 Crore+","Rs 29,60,967 ~ 29 Lacs+",Chidambaram,Cuddalore
